episodes:steps:mean_steps(10):rwd:mean_rwd:rwd_sum:rwd_sum-?*step:iter
      0:   104:     10.4:-10.00000:  0.45957:     47.8: -56.20512:       104
    112:    57:     40.3:-10.00000:  0.50399:     28.7: -28.27243:      4296
    113:    85:     45.9:-10.00000:  0.42715:     36.3: -48.69202:      4381
    114:    25:     46.0:-10.00000:  0.34293:      8.6: -16.42663:      4406
    115:    71:     51.2:-10.00000:  0.47846:     34.0: -37.02911:      4477
    116:    38:     49.7:-10.00000:  0.53651:     20.4: -17.61246:      4515
    117:    15:     46.7:-10.00000:  0.11001:      1.7: -13.34983:      4530
    118:    18:     41.7:-10.00000:  0.21593:      3.9: -14.11319:      4548
    119:    50:     42.2:-10.00000:  0.46777:     23.4: -26.61128:      4598
    120:    18:     41.3:-10.00000:  0.23103:      4.2: -13.84147:      4616
    121:    50:     42.7:-10.00000:  0.45891:     22.9: -27.05434:      4666
    122:    16:     38.6:-10.00000:  0.13706:      2.2: -13.80698:      4682
    123:    48:     34.9:-10.00000:  0.46503:     22.3: -25.67847:      4730
    124:    23:     34.7:-10.00000:  0.31808:      7.3: -15.68426:      4753
    125:    68:     34.4:-10.00000:  0.44698:     30.4: -37.60552:      4821
    126:    49:     35.5:-10.00000:  0.34513:     16.9: -32.08857:      4870
    127:    66:     40.6:-10.00000:  0.54436:     35.9: -30.07204:      4936
    128:    53:     44.1:-10.00000:  0.52709:     27.9: -25.06399:      4989
    129:    54:     44.5:-10.00000:  0.45891:     24.8: -29.21875:      5043
    130:    41:     46.8:-10.00000:  0.46806:     19.2: -21.80959:      5084
    131:    18:     43.6:-10.00000:  0.18618:      3.4: -14.64870:      5102
    132:    46:     46.6:-10.00000:  0.40571:     18.7: -27.33748:      5148
    133:    25:     44.3:-10.00000:  0.38940:      9.7: -15.26512:      5173
    134:    29:     44.9:-10.00000:  0.26302:      7.6: -21.37251:      5202
    135:    33:     41.4:-10.00000:  0.41699:     13.8: -19.23948:      5235
    136:    28:     39.3:-10.00000:  0.40518:     11.3: -16.65508:      5263
    137:    24:     35.1:-10.00000:  0.35849:      8.6: -15.39625:      5287
    138:    34:     33.2:-10.00000:  0.45901:     15.6: -18.39371:      5321
    139:    84:     36.2:-10.00000:  0.48332:     40.6: -43.40126:      5405
    140:    26:     34.7:-10.00000:  0.32742:      8.5: -17.48714:      5431
    141:    42:     37.1:-10.00000:  0.33396:     14.0: -27.97371:      5473
    142:    35:     36.0:-10.00000:  0.39801:     13.9: -21.06981:      5508
    143:    22:     35.7:-10.00000:  0.28534:      6.3: -15.72249:      5530
    144:    16:     34.4:-10.00000:  0.22175:      3.5: -12.45202:      5546
    145:    23:     33.4:-10.00000:  0.25246:      5.8: -17.19344:      5569
    146:    18:     32.4:-10.00000:  0.23152:      4.2: -13.83266:      5587
    147:    46:     34.6:-10.00000:  0.50217:     23.1: -22.90012:      5633
    148:    44:     35.6:-10.00000:  0.44322:     19.5: -24.49831:      5677
    149:    83:     35.5:-10.00000:  0.55698:     46.2: -36.77033:      5760
    150:    70:     39.9:-10.00000:  0.56423:     39.5: -30.50374:      5830
    151:    21:     37.8:-10.00000:  0.27984:      5.9: -15.12339:      5851
    152:    49:     39.2:-10.00000:  0.50533:     24.8: -24.23890:      5900
    153:    20:     39.0:-10.00000:  0.28941:      5.8: -14.21190:      5920
    154:    26:     40.0:-10.00000:  0.33211:      8.6: -17.36502:      5946
    155:    15:     39.2:-10.00000:  0.12857:      1.9: -13.07146:      5961
    156:    14:     38.8:-10.00000:  0.10738:      1.5: -12.49674:      5975
    157:    35:     37.7:-10.00000:  0.49150:     17.2: -17.79755:      6010
    158:    32:     36.5:-10.00000:  0.45564:     14.6: -17.41949:      6042
    159:    44:     32.6:-10.00000:  0.41005:     18.0: -25.95775:      6086
    160:    23:     27.9:-10.00000:  0.29394:      6.8: -16.23928:      6109
    161:    21:     27.9:-10.00000:  0.24312:      5.1: -15.89453:      6130
    162:    34:     26.4:-10.00000:  0.45300:     15.4: -18.59790:      6164
    163:    15:     25.9:-10.00000:  0.14352:      2.2: -12.84720:      6179
    164:    38:     27.1:-10.00000:  0.49818:     18.9: -19.06900:      6217
    165:    39:     29.5:-10.00000:  0.45759:     17.8: -21.15395:      6256
    166:    21:     30.2:-10.00000:  0.30495:      6.4: -14.59600:      6277
    167:    36:     30.3:-10.00000:  0.35304:     12.7: -23.29070:      6313
    168:    38:     30.9:-10.00000:  0.38963:     14.8: -23.19397:      6351
    169:    48:     31.3:-10.00000:  0.49422:     23.7: -24.27734:      6399
    170:    19:     30.9:-10.00000:  0.26994:      5.1: -13.87117:      6418
    171:    72:     36.0:-10.00000:  0.46377:     33.4: -38.60855:      6490
    172:    22:     34.8:-10.00000:  0.28426:      6.3: -15.74630:      6512
    173:    25:     35.8:-10.00000:  0.28152:      7.0: -17.96201:      6537
    174:    58:     37.8:-10.00000:  0.57290:     33.2: -24.77186:      6595
    175:    60:     39.9:-10.00000:  0.48597:     29.2: -30.84210:      6655
    176:    31:     40.9:-10.00000:  0.40272:     12.5: -18.51575:      6686
    177:    14:     38.7:-10.00000:  0.09794:      1.4: -12.62884:      6700
    178:    49:     39.8:-10.00000:  0.47806:     23.4: -25.57502:      6749
    179:    58:     40.8:-10.00000:  0.48426:     28.1: -29.91266:      6807
    180:    53:     44.2:-10.00000:  0.48659:     25.8: -27.21086:      6860
    181:    64:     43.4:-10.00000:  0.50675:     32.4: -31.56801:      6924
    182:    23:     43.5:-10.00000:  0.38643:      8.9: -14.11201:      6947
    183:    36:     44.6:-10.00000:  0.34985:     12.6: -23.40542:      6983
    184:    81:     46.9:-10.00000:  0.55566:     45.0: -35.99165:      7064
    185:    67:     47.6:-10.00000:  0.50737:     34.0: -33.00613:      7131
    186:    28:     47.3:-10.00000:  0.36346:     10.2: -17.82299:      7159
    187:    17:     47.6:-10.00000:  0.17740:      3.0: -13.98421:      7176
