episodes:steps:mean_steps(10):rwd:mean_rwd:rwd_sum:rwd_sum-?*step:iter
    149:    62:    110.2: -0.10000:  0.01344:      0.8:  -5.36659:     17593
    150:    97:    108.1: -0.10000:  0.02438:      2.4:  -7.33509:     17690
    151:    99:    112.3: -0.10000:  0.03578:      3.5:  -6.35805:     17789
    152:    63:     95.6: -0.10000:  0.01319:      0.8:  -5.46897:     17852
    153:    76:     94.9: -0.10000: -0.00954:     -0.7:  -8.32482:     17928
    154:    71:     92.6: -0.10000:  0.00201:      0.1:  -6.95704:     17999
    155:   184:     97.9: -0.10000:  0.01585:      2.9: -15.48279:     18183
    156:   111:    100.4: -0.10000: -0.00675:     -0.7: -11.84874:     18294
    157:    77:     94.2: -0.10000: -0.00391:     -0.3:  -8.00130:     18371
    158:   135:     97.5: -0.10000:  0.01200:      1.6: -11.88035:     18506
    159:    85:     99.8: -0.10000:  0.01523:      1.3:  -7.20573:     18591
    160:    67:     96.8: -0.10000: -0.00175:     -0.1:  -6.81729:     18658
    161:   177:    104.6: -0.10000:  0.04454:      7.9:  -9.81664:     18835
    162:    93:    107.6: -0.10000:  0.01440:      1.3:  -7.96096:     18928
    163:    78:    107.8: -0.10000:  0.00842:      0.7:  -7.14345:     19006
    164:    64:    107.1: -0.10000: -0.01731:     -1.1:  -7.50762:     19070
    165:    84:     97.1: -0.10000:  0.01149:      1.0:  -7.43482:     19154
    166:    69:     92.9: -0.10000:  0.00316:      0.2:  -6.68198:     19223
    167:    74:     92.6: -0.10000:  0.01340:      1.0:  -6.40846:     19297
    168:   130:     92.1: -0.10000: -0.00702:     -0.9: -13.91245:     19427
    169:    96:     93.2: -0.10000: -0.00335:     -0.3:  -9.92203:     19523
    170:   127:     99.2: -0.10000: -0.01172:     -1.5: -14.18837:     19650
    171:    74:     88.9: -0.10000: -0.00744:     -0.6:  -7.95053:     19724
    172:    56:     85.2: -0.10000:  0.00031:      0.0:  -5.58292:     19780
    173:    77:     85.1: -0.10000:  0.01727:      1.3:  -6.37003:     19857
    174:    64:     85.1: -0.10000:  0.01434:      0.9:  -5.48192:     19921
    175:   111:     87.8: -0.10000:  0.00698:      0.8: -10.32512:     20032
    176:   131:     94.0: -0.10000: -0.01925:     -2.5: -15.62163:     20163
    177:   165:    103.1: -0.10000: -0.02398:     -4.0: -20.45712:     20328
    178:   101:    100.2: -0.10000: -0.02299:     -2.3: -12.42175:     20429
    179:    85:     99.1: -0.10000:  0.02751:      2.3:  -6.16166:     20514
    180:    82:     94.6: -0.10000: -0.01545:     -1.3:  -9.46716:     20596
    181:   129:    100.1: -0.10000: -0.01603:     -2.1: -14.96754:     20725
    182:   131:    107.6: -0.10000: -0.01054:     -1.4: -14.48055:     20856
    183:    80:    107.9: -0.10000:  0.01998:      1.6:  -6.40180:     20936
    184:    75:    109.0: -0.10000:  0.02408:      1.8:  -5.69385:     21011
    185:   283:    126.2: -0.10000:  0.04283:     12.1: -16.17910:     21294
    186:    98:    122.9: -0.10000:  0.01717:      1.7:  -8.11730:     21392
    187:   187:    125.1: -0.10000:  0.01161:      2.2: -16.52887:     21579
    188:    81:    123.1: -0.10000: -0.00358:     -0.3:  -8.39026:     21660
    189:   101:    124.7: -0.10000:  0.02511:      2.5:  -7.56414:     21761
    190:   154:    131.9: -0.10000:  0.03535:      5.4:  -9.95580:     21915
    191:   157:    134.7: -0.10000: -0.00929:     -1.5: -17.15878:     22072
    192:    98:    131.4: -0.10000:  0.01349:      1.3:  -8.47830:     22170
    193:    73:    130.7: -0.10000: -0.02940:     -2.1:  -9.44602:     22243
    194:    62:    129.4: -0.10000: -0.01184:     -0.7:  -6.93439:     22305
    195:    83:    109.4: -0.10000: -0.00745:     -0.6:  -8.91872:     22388
    196:   141:    113.7: -0.10000:  0.01609:      2.3: -11.83196:     22529
    197:   129:    107.9: -0.10000:  0.00014:      0.0: -12.88154:     22658
